,Test Subject ID,Time,Question,IDE Type,CmputeTimeSec,QType,Timesec,LogTimesec
0,V1,3:36.55,C1,IDLE,216.55,C,216.55,2.3355581880658614
1,V1,3:34.51,D1,IDLE,214.51,D,214.51,2.3314475428777968
2,V1,1:08.18,N1,IDLE,68.18,N,68.18,1.8336569968928724
3,V1,1:31.25,C2,PyCharm,91.25,C,91.25,1.9602328731285124
4,V1,1:58.00,D2,PyCharm,118.0,D,118.0,2.0718820073061255
5,V1,0:22.21,N2,PyCharm,22.21,N,22.21,1.346548558548474
6,V1,3:56.52,C3,VSCode,236.52,C,236.52,2.373867870327068
7,V1,0:44.40,D3,VSCode,44.4,D,44.4,1.6473829701146199
8,V1,0:11.59,N3,VSCode,11.59,N,11.59,1.064083435963596
9,J1,10:36.81,C1,IDLE,636.81,C,636.81,2.8040098746270994
10,J1,2:29.15,D1,IDLE,149.15,D,149.15,2.1736232576980816
11,J1,3:00.61,N1,IDLE,180.61,N,180.61,2.256741792625255
12,J1,3:51.03,C2,VSCode,231.03,C,231.03,2.363668378110768
13,J1,2:11.15,D2,VSCode,131.15,D,131.15,2.1177682949263725
14,J1,7:42.99,N2,VSCode,462.99,N,462.99,2.6655716109062473
15,J1,1:44.73,C3,PyCharm,104.73,C,104.72999999999999,2.0200711035338412
16,J1,9:23.57,D3,PyCharm,563.57,D,563.57,2.7509478666565754
17,J1,1:20.42,N3,PyCharm,80.42,N,80.42,1.9053640687668922
18,J2,1:19.56,C1,IDLE,79.56,C,79.56,1.9006947744523979
19,J2,2:15.07,D1,IDLE,135.07,D,135.07,2.130558899864014
20,J2,6:29.44,N1,IDLE,389.44,N,389.44,2.590440556549971
21,J2,1:26.10,C2,VSCode,86.1,C,86.1,1.9350031514536548
22,J2,2:24.00,D2,VSCode,144.0,D,144.0,2.1583624920952498
23,J2,0:24.27,N2,VSCode,24.27,N,24.27,1.3850697763319348
24,J2,6:36.21,C3,PyCharm,396.21,C,396.21,2.59792543256046
25,J2,0:36.93,D3,PyCharm,36.93,D,36.93,1.5673793076509788
26,J2,0:21.73,N3,PyCharm,21.73,N,21.73,1.3370597263205246
27,J3,1:42.28,C1,IDLE,102.28,C,102.28,2.0097907193542977
28,J3,1:09.13,D1,IDLE,69.13,D,69.13,1.8396665568824333
29,J3,0:31.28,N1,IDLE,31.28,N,31.28,1.4952667443878105
30,J3,3:26.40,C2,VSCode,206.4,C,206.4,2.314709692955174
31,J3,0:02.01,D2,VSCode,2.01,D,2.01,0.30319605742048883
32,J3,0:10.09,N2,VSCode,10.09,N,10.09,1.0038911662369105
33,J3,2:19.29,C3,PyCharm,139.29,C,139.29,2.1439199383858365
34,J3,3:01.36,D3,PyCharm,181.36,D,181.36,2.258541507118461
35,J3,6:29.94,N3,PyCharm,389.94,N,389.94,2.590997787350715
36,M1,6:10.23,C1,IDLE,370.23,C,370.23,2.568471607033241
37,M1,0:59.44,D1,IDLE,59.44,D,59.44,1.7740788007525188
38,M1,0:34.02,N1,IDLE,34.02,N,34.02,1.5317343092765503
39,M1,17:52.87,C2,VSCode,1072.87,C,1072.87,3.0305471015530494
40,M1,1:22.08,D2,VSCode,82.08,D,82.08,1.914237347767741
41,M1,1:19.39,N2,VSCode,79.39,N,79.39,1.8997658019443862
42,M1,2:34.38,C3,PyCharm,154.38,C,154.38,2.1885910365939902
43,M1,8:17.03,D3,PyCharm,497.03,D,497.03,2.696382602900834
